Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
BA09.FE - Patient - Display summary of the appointment,N3NJS1804-199,10350,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 2:04 AM,17/Jul/24 2:08 AM,20/Jul/24 9:39 AM,17/Jul/24 2:07 AM,,0,BOOKING,SUMMARY,,BA09.FE - Patient - Display summary of the appointment,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 2:05 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA09.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10260,,,,,,,,,"The screen displays a summary booking containing Dentist, Branch, Treatment, Appointment(s) with date and time",,,,,,{},,N3NJS1804-107,Appointment Management,,,"The screen should display a summary booking containing Dentist, Branch, Treatment, Appointment(s) with date and time",,,,,0|i0020v:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 1, Treatment General Checkup, Dentist An Ha, Slot 7",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_171389,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 2:07 AM
BA08.FE - Patient - Display error when no available slots in the chosen date,N3NJS1804-198,10349,TESTCASE,In Progress,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 2:03 AM,17/Jul/24 12:36 PM,20/Jul/24 9:39 AM,,,0,BOOKING,DATE_PICKER,,BA08.FE - Patient - Display error when no available slots in the chosen date,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,N3NJS1804-107,Appointment Management,,,,,,,,0|i0020n:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 1, Treatment General Checkup, Dentist Bao Ha",Skip,,,,,,,,,,,,,,,,,,,,,,,10258,Appointment Management,In Progress,17/Jul/24 2:04 AM
BA07.FE - Patient - Display available slots in Slot picker,N3NJS1804-197,10348,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 2:01 AM,17/Jul/24 2:04 AM,20/Jul/24 9:39 AM,17/Jul/24 2:03 AM,,0,BOOKING,DATE_PICKER,,BA06.FE - Patient - Appointment should be booked 2 hours before the actual start time,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 2:02 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA07.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10259,,,,,,,,,All slots from 7 -> 19 (except break 12) are displayed,,,,,,{},,N3NJS1804-107,Appointment Management,,,All slots from 7 -> 19 (except break 12) should be displayed,,,,,0|i0020f:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 1, Treatment General Checkup, Dentist Bao Ha",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_113408,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 2:03 AM
BA06.FE - Patient - Appointment should be booked 2 hours before the actual start time,N3NJS1804-196,10347,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 2:00 AM,17/Jul/24 9:56 AM,20/Jul/24 9:39 AM,17/Jul/24 9:56 AM,,0,BOOKING,DATE_PICKER,,"BA06.FE - Patient - Appointment should be booked 2 hours before the actual start time

Current date-time of the testcase: 9:55 AM 17/7/2024",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 9:55 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA06.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10301,,,,,,,,,The screen displays slot from 11 after,,,,,,{},,N3NJS1804-107,Appointment Management,,,The screen should display slot from 11 after,,,,,0|i00207:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Choose Branch 1, Treatment General Checkup, Dentist Bao Ha",Pass,,,,3_*:*_1_*:*_28521331_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_49853,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 9:56 AM
BA05.FE - Patient - Cannot select past date in Slot picker,N3NJS1804-195,10346,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 1:58 AM,17/Jul/24 2:01 AM,20/Jul/24 9:39 AM,17/Jul/24 2:00 AM,,0,BOOKING,DATE_PICKER,,BA05.FE - Patient - Cannot select past date in Slot picker,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 1:59 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA05.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10258,,,,,,,,,The date picker doesn't allowed to chose past date,,,,,,{},,N3NJS1804-107,Appointment Management,,,The date picker should not be able to chose past date,,,,,0|i001zz:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 1, Treatment General Checkup, Dentist Bao Ha",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_138113,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 2:00 AM
BA04.FE - Patient - Display dentists based on chosen branch and treatment,N3NJS1804-194,10345,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 1:56 AM,17/Jul/24 1:58 AM,20/Jul/24 9:39 AM,17/Jul/24 1:58 AM,,0,BOOKING,DENTIST,,BA04.FE - Patient - Display dentists based on chosen branch and treatment,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 1:56 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA04.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10257,,,,,,,,,The screen displays 2 Dentist in branch 1,,,,,,{},,N3NJS1804-107,Appointment Management,,,The screen should display 2 Dentist in branch 1,,,,,0|i001zr:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 1, Treatment General Checkup
Note: every dentist will have major in General Checkup",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_152053,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 1:58 AM
BA03.FE - Patient - Display error when no treatments found in a branch,N3NJS1804-193,10344,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 1:54 AM,17/Jul/24 1:56 AM,20/Jul/24 9:39 AM,17/Jul/24 1:56 AM,,0,BOOKING,TREATMENT,,BA03.FE - Patient - Display error when no treatments found in a branch,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 1:55 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA03.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10256,,,,,,,,,"The screen displays no Treatments with error message ""No treatments available.""",,,,,,{},,N3NJS1804-107,Appointment Management,,,"The screen should display no Treatments with error message ""No treatments available.""",,,,,0|i001zj:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 3",Pass,,,,3_*:*_1_*:*_97634_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_25008,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 1:56 AM
BA02.FE - Patient - Display treatments based on chosen branch,N3NJS1804-192,10343,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 1:48 AM,17/Jul/24 1:54 AM,20/Jul/24 9:39 AM,17/Jul/24 1:54 AM,,0,BOOKING,TREATMENT,,"BA02.FE - Patient - Display treatments based on chosen branch
Logic: Check dentists' majors/treatments in chosen branch => show all treatments that the branch offer",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 1:49 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA02.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10254,17/Jul/24 1:49 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA02.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10255,,,,,,,,The screen displays right Treatments,,,,,,{},,N3NJS1804-107,Appointment Management,,,The screen should display right Treatments,,,,,0|i001zb:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 1",Pass,,,,3_*:*_1_*:*_269708_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_74113,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 1:54 AM
BA01.FE - Patient - Display all active branches of the clinic,N3NJS1804-191,10342,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 1:45 AM,17/Jul/24 1:49 AM,20/Jul/24 9:39 AM,17/Jul/24 1:48 AM,,0,BOOKING,BRANCH,,BA01.FE - Patient - Display all active branches of the clinic,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 1:46 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA01.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10252,17/Jul/24 1:46 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA01.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10253,,,,,,,,The screen displays ACTIVE branches in clinic,,,,,,{},,N3NJS1804-107,Appointment Management,,,The screen should display ACTIVE branches in clinic (status = 1 in database),,,,,0|i001z3:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header",Pass,,,,3_*:*_1_*:*_204730_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_6514,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 1:48 AM
CC02.FE - Cannot cancelled appointment before 2 hours from current time,N3NJS1804-190,10341,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,16/Jul/24 11:29 PM,16/Jul/24 11:30 PM,16/Jul/24 11:29 PM,16/Jul/24 11:30 PM,,0,,,,System did not show appointment before 2 hours from current time,,Huynh Thong Duong (K18 HCM),,712020:7506b707-7088-4543-9bae-b108c474df7e,,,,,,,,,,N3NJS1804-111,,,,,,,,,,,,You can see a appointment before 2 hours from current time,,,,,,{},,N3NJS1804-107,Appointment Management,,,You can see a appointment before 2 hours from current time,,,,,0|i001yv:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Click to calendar
2. You can see a appointment before 2 hours from current time",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_58244,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,16/Jul/24 11:30 PM
RC04.FE - Cannot select time 2 hours from current time,N3NJS1804-189,10340,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,16/Jul/24 11:12 PM,16/Jul/24 11:23 PM,16/Jul/24 11:29 PM,16/Jul/24 11:23 PM,,0,,,,System did not allow you to select appointment time 2 hours from current time,,Huynh Thong Duong (K18 HCM),,712020:7506b707-7088-4543-9bae-b108c474df7e,,,,,,,,,,,,,16/Jul/24 11:23 PM;712020:7506b707-7088-4543-9bae-b108c474df7e;image-20240716-162331.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10247,,,,,,,,,You can see a time before 2 hours from current time,,,,,,{},,N3NJS1804-107,Appointment Management,,,You can see a time before 2 hours from current time,,,,,0|i001yf:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Click a valid date
2. System did not show a 2 hours before from current time",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_676009,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,16/Jul/24 11:23 PM
RC03.FE - Cannot select past date,N3NJS1804-188,10339,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,16/Jul/24 11:11 PM,16/Jul/24 11:17 PM,16/Jul/24 11:16 PM,16/Jul/24 11:17 PM,,0,,,,System did not allow you to select day in the past,,Huynh Thong Duong (K18 HCM),,712020:7506b707-7088-4543-9bae-b108c474df7e,,,,,,,,,,N3NJS1804-110,,,16/Jul/24 11:17 PM;712020:7506b707-7088-4543-9bae-b108c474df7e;image-20240716-161714.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10246,,,,,,,,,You can select a past date,,,,,,{},,N3NJS1804-107,Appointment Management,,,You can select a past date,,,,,0|i001y7:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Click at calendar icon in reschedule screen
2. Try to click at past date ",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_332014,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,16/Jul/24 11:17 PM
CC01.FE - Cancelled success,N3NJS1804-187,10338,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,16/Jul/24 11:09 PM,16/Jul/24 11:27 PM,16/Jul/24 11:24 PM,16/Jul/24 11:27 PM,,0,,,,appointment will remove out calendar when you confirm cancelled,,Huynh Thong Duong (K18 HCM),,712020:7506b707-7088-4543-9bae-b108c474df7e,,,,,,,,,,N3NJS1804-111,,,16/Jul/24 11:26 PM;712020:7506b707-7088-4543-9bae-b108c474df7e;image-20240716-162633.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10249,16/Jul/24 11:26 PM;712020:7506b707-7088-4543-9bae-b108c474df7e;image-20240716-162638.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10250,16/Jul/24 11:26 PM;712020:7506b707-7088-4543-9bae-b108c474df7e;image-20240716-162648.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10251,,,,,,,The appointment would be removed from calendar,,,,,,{},,N3NJS1804-107,Appointment Management,,,The appointment would be removed from calendar,,,,,0|i001yn:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Click bin icon at appointment in calendar
2. Confirm cancelled",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1067052,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,16/Jul/24 11:27 PM
RC02.FE - Reschedule success,N3NJS1804-186,10337,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,16/Jul/24 11:09 PM,16/Jul/24 11:24 PM,16/Jul/24 11:23 PM,16/Jul/24 11:24 PM,,0,,,,After valid chosen reschedule will success,,Huynh Thong Duong (K18 HCM),,712020:7506b707-7088-4543-9bae-b108c474df7e,,,,,,,,,,N3NJS1804-110,,,16/Jul/24 11:24 PM;712020:7506b707-7088-4543-9bae-b108c474df7e;image-20240716-162434.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10248,,,,,,,,,Reschedule is confirmed!,,,,,,{},,N3NJS1804-107,Appointment Management,,,Reschedule is confirmed!,,,,,0|i001xr:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Choose valid date and time
2. Click Reschedule",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_948026,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,16/Jul/24 11:24 PM
RC01.FE - Only reschedule appointments two times,N3NJS1804-185,10336,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,16/Jul/24 11:08 PM,16/Jul/24 11:15 PM,16/Jul/24 11:15 PM,16/Jul/24 11:15 PM,,0,,,,System on allow customer reschedule two times,,Huynh Thong Duong (K18 HCM),,712020:7506b707-7088-4543-9bae-b108c474df7e,,,,,,,,,,N3NJS1804-110,,,16/Jul/24 11:14 PM;712020:7506b707-7088-4543-9bae-b108c474df7e;image-20240716-161428.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10243,,,,,,,,,"Alert: ""You can only reschedule this appointment 2 more time""",,,,,,{},,N3NJS1804-107,Appointment Management,,,"Alert: ""You can only reschedule this appointment 2 more time""",,,,,0|i001xj:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,Click a pen icon at appointment in calendar,Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_409350,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,16/Jul/24 11:15 PM
 TC06 - Update Treatment - Delete a Treatment.,N3NJS1804-184,10335,TESTCASE,To Do,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,Tran Nhat Hoang (K17 HCM),712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,15/Jul/24 5:35 PM,17/Jul/24 9:53 AM,16/Jul/24 11:07 PM,,,0,,,, TC06 - Update Treatment - Delete a Treatment.,,Tran Nhat Hoang (K17 HCM),,712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf,,,,,,,,,,N3NJS1804-131,,,15/Jul/24 5:41 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103810.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10242,15/Jul/24 5:41 PM;712020:6b53c8ab-c9af-4d75-9be2-42399be3dbbf;Screenshot 2024-07-13 103923.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10241,,,,,,,,When you press delete icon it will delete a treament out of table with a notice that you have delete treatement successfully.,,,,,,{},,N3NJS1804-127,Treatment Management,,,When you press delete icon it will delete a treament out of table with a notice that you have delete treatement successfully.,,,,,0|i001xb:,,,,,N3NJS180 Sprint 2,,,,,,,,,"1. Input Email ""abc@gmail.com"" or phone number ""0762123411"" and Password: ""password"" to Login
2. Login success and go to Admin Page
3. In Admin Page go to Treatment and enter ""Add new Treatment"".
4. In the Table you will a delete icon then press it.",,,,,,,,,,,,,,,,,,,,,,,,10278,Treatment Management,To Do,15/Jul/24 5:35 PM
